0.4,0.177,0.0806766,0
0.33,0.291,0.1326378,2
0.24,0.375,0.170925,4
0.19,0.414,0.1887012,8
0.12,0.631,0.2876098,12
0.57,0.23,0.105,0
0.5,0.303,0.1381074,2
0.39,0.371,0.1691018,4
0.3,0.4,0.182,8
0.23,0.496,0.2260768,12
0.71,0.224,0.1020992,0
0.57,0.313,0.1426654,2
0.38,0.435,0.198273,4
0.23,0.473,0.2155934,8
0.14,0.524,0.2388392,12
1,0.287,0.1308146,0
0.87,0.34,0.155,2
0.67,0.374,0.1704692,4
0.43,0.471,0.2146818,8
0.28,0.577,0.2629966,12
1.31,0.414,0.1887012,0
0.9,0.476,0.2169608,2
0.46,0.618,0.2816844,4
0.2,0.715,0.325897,8
0.11,0.785,0.357803,12
1.58,0.466,0.2124028,0
1.18,0.5,0.228,2
0.89,0.584,0.2661872,4
0.31,0.691,0.3149578,8
0.13,0.769,0.3505102,12
